preco,condominio,iptu,bairro,cidade,estado,cep,metragem,quartos,banheiros,vagas,caracteristicas_imovel,caracteristicas_condominio
1620000.0,0.0,0.0,Ahú,Curitiba,PR,80540130,132,3,5,3,"['Churrasqueira', 'Porteiro 24h', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Condomínio fechado', 'Piscina', 'Portão eletrônico', 'Academia']"
203000.0,500.0,1200.0,Centro,Curitiba,PR,80060140,22,1,1,0,"['Ar condicionado', 'Academia', 'Área de serviço']","['Salão de festas', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
1500000.0,1760.0,4150.0,Bigorrilho,Curitiba,PR,80730000,200,5,5,2,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Armários no quarto', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Academia']"
340000.0,450.0,0.0,Cristo Rei,Curitiba,PR,80050150,50,2,2,1,['Mobiliado'],['Permitido animais']
520000.0,1465.0,1043.0,Centro,Curitiba,PR,80420210,178,4,3,1,"['Armários no quarto', 'Porteiro 24h']","['Portaria', 'Portão eletrônico', 'Salão de festas', 'Condomínio fechado']"
1190000.0,942.0,2358.0,Portão,Curitiba,PR,80610280,128,3,5,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
740000.0,700.0,1200.0,Água Verde,Curitiba,PR,80620110,94,2,2,2,"['Churrasqueira', 'Porteiro 24h', 'Varanda', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Piscina', 'Academia']"
179000.0,350.0,500.0,Alto da Glória,Curitiba,PR,80060195,30,1,1,0,[],[]
289000.0,422.0,455.0,Bacacheri,Curitiba,PR,82510180,62,3,1,1,[],[]
420000.0,550.0,860.0,Cristo Rei,Curitiba,PR,80050260,86,3,2,1,[],[]
425000.0,330.0,584.0,Bacacheri,Curitiba,PR,82520760,65,2,2,1,"['Varanda', 'Mobiliado', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
375000.0,430.0,500.0,Bigorrilho,Curitiba,PR,80710000,63,3,2,1,['Mobiliado'],"['Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
850000.0,1100.0,121.0,Centro,Curitiba,PR,80420190,90,3,2,2,"['Mobiliado', 'Porteiro 24h', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Portão eletrônico', 'Academia']"
1250000.0,1000.0,1030.0,Batel,Curitiba,PR,80420060,163,2,2,1,"['Armários no quarto', 'Mobiliado', 'Porteiro 24h']","['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
750000.0,500.0,0.0,Alto da Glória,Curitiba,PR,80030310,100,3,2,1,"['Churrasqueira', 'Mobiliado', 'Armários na cozinha', 'Varanda', 'Armários no quarto']",['Salão de festas']
580000.0,710.0,900.0,Água Verde,Curitiba,PR,80240170,109,3,3,1,"['Varanda', 'Armários no quarto']",['Salão de festas']
499000.0,600.0,140.0,Alto da Rua XV,Curitiba,PR,80045060,107,3,2,2,[],"['Salão de festas', 'Portão eletrônico', 'Elevador', 'Permitido animais']"
205000.0,270.0,0.0,Centro,Curitiba,PR,80230080,37,1,1,0,['Área de serviço'],"['Portão eletrônico', 'Elevador', 'Permitido animais']"
1100000.0,1000.0,1300.0,Ahú,Curitiba,PR,80540230,155,3,3,1,"['Armários no quarto', 'Mobiliado', 'Churrasqueira', 'Armários na cozinha']","['Salão de festas', 'Elevador', 'Permitido animais']"
212000.0,345.0,45.0,Água Verde,Curitiba,PR,80250100,54,2,1,0,[],"['Portão eletrônico', 'Permitido animais']"
1250000.0,0.0,0.0,Boa Vista,Curitiba,PR,82650230,5000,4,3,4,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Varanda', 'Armários no quarto']","['Portão eletrônico', 'Permitido animais']"
950000.0,650.0,0.0,Ahú,Curitiba,PR,80540000,94,2,2,2,"['Ar condicionado', 'Armários na cozinha', 'Varanda', 'Armários no quarto', 'Academia']","['Academia', 'Salão de festas']"
495000.0,340.0,30.0,Centro,Curitiba,PR,80250220,33,1,1,0,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
700000.0,550.0,0.0,Juvevê,Curitiba,PR,80530320,158,2,3,1,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Armários na cozinha', 'Armários no quarto']","['Salão de festas', 'Permitido animais']"
799000.0,920.0,2700.0,Alto da Glória,Curitiba,PR,80030230,150,4,4,2,"['Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
240000.0,221.0,47.0,Prado Velho,Curitiba,PR,80215223,34,1,1,0,"['Ar condicionado', 'Mobiliado', 'Porteiro 24h', 'Área de serviço']","['Portaria', 'Salão de festas']"
450000.0,650.0,600.0,Batel,Curitiba,PR,80420162,79,2,1,1,['Porteiro 24h'],"['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
165600.0,0.0,0.0,Tatuquara,Curitiba,PR,81480000,42,2,1,1,"['Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas']"
210000.0,400.0,0.0,Prado Velho,Curitiba,PR,80215250,29,1,1,0,"['Ar condicionado', 'Mobiliado', 'Churrasqueira', 'Armários na cozinha']",['Salão de festas']
380000.0,439.0,805.0,Água Verde,Curitiba,PR,80620070,87,3,2,1,"['Mobiliado', 'Armários na cozinha', 'Área de serviço']",['Permitido animais']
420000.0,0.0,0.0,Cristo Rei,Curitiba,PR,80050370,70,3,2,1,['Academia'],"['Academia', 'Salão de festas', 'Elevador']"
1700000.0,900.0,2400.0,Mossunguê,Curitiba,PR,81210220,221,3,4,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Academia']","['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Academia']"
330000.0,360.0,82.0,Água Verde,Curitiba,PR,80610040,68,2,2,1,"['Varanda', 'Armários na cozinha', 'Área de serviço']","['Salão de festas', 'Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
130000.0,0.0,0.0,Cidade Industrial,Curitiba,PR,81260190,51,3,1,1,[],"['Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
950000.0,1400.0,3512.0,Água Verde,Curitiba,PR,80240020,200,3,3,2,['Área de serviço'],[]
585000.0,650.0,70.0,Vila Izabel,Curitiba,PR,80320310,85,2,2,1,['Varanda'],[]
455000.0,580.0,0.0,Cristo Rei,Curitiba,PR,80050470,75,3,2,1,[],['Segurança 24h']
